Timestamp,"4-20 mA Reading, A"
10:13:07.641124725341796875,0.005834
10:13:07.729129791259765625,0.005774
10:13:07.830135345458984375,0.005795
10:13:07.9291410446166992188,0.005827
10:13:08.0331473350524902344,0.005818
10:13:08.1301527023315429687,0.005792
10:13:08.2291584014892578125,0.005791
10:13:08.3301639556884765625,0.005798
10:13:08.4291696548461914063,0.005769
10:13:08.5311756134033203125,0.005804
10:13:08.6311812400817871094,0.005758
10:13:08.7321872711181640625,0.005795
10:13:08.8291926383972167969,0.005807
10:13:08.9301981925964355469,0.005842
10:13:09.0322041511535644531,0.005758
10:13:09.1302099227905273437,0.005791
10:13:09.2302155494689941406,0.005790
10:13:09.3292212486267089844,0.005839
10:13:09.4302268028259277344,0.005802
10:13:09.5292325019836425781,0.005775
10:13:09.6302385330200195312,0.005795
10:13:09.7302441596984863281,0.005768
10:13:09.8292498588562011719,0.005794
10:13:09.9302554130554199219,0.005806
10:13:10.0292611122131347656,0.005801
10:13:10.1312670707702636719,0.005776
10:13:10.2302727699279785156,0.005804
10:13:10.3292784690856933594,0.005803
10:13:10.4302840232849121094,0.005822
10:13:10.5292897224426269531,0.005777
10:13:10.6292958259582519531,0.005777
10:13:10.72930145263671875,0.005822
10:13:10.8313069343566894531,0.005766
10:13:10.9293127059936523438,0.005794
10:13:11.0303187370300292969,0.005808
10:13:11.1303243637084960937,0.005801
10:13:11.2293300628662109375,0.005793
10:13:11.3303356170654296875,0.005798
10:13:11.4293413162231445313,0.005798
10:13:11.5303468704223632813,0.005841
10:13:11.6303529739379882812,0.005782
10:13:11.7303586006164550781,0.005778
10:13:11.830364227294921875,0.005832
10:13:11.9303698539733886719,0.005775
10:13:12.0303754806518554688,0.005844
10:13:12.1303815841674804687,0.005763
10:13:12.2293872833251953125,0.005836
10:13:12.3293929100036621094,0.005764
10:13:12.434398651123046875,0.005840
10:13:12.5294041633605957031,0.005764
10:13:12.6304101943969726562,0.005791
10:13:12.7294158935546875,0.005820
10:13:12.83042144775390625,0.005792
10:13:12.9294271469116210938,0.005779
10:13:13.0304327011108398438,0.005829
10:13:13.1294384002685546875,0.005792
